Years,Total,Agriculture_goods,Industrial_goods,,,,,,,,,,,,,,,
2535,"824,643.3","169,774.9","552,250.3",,,,,,,,,,,,,,,
2536,"940,862.6","163,311.7","671,879.7",,,,,,,,,,,,,,,
2537,"1,137,601.6","193,766.2","827,899.1",,,,,,,,,,,,,,,
2538,"1,406,310.1","227,829.4","1,037,861.1",,,,,,,,,,,,,,,
2539,"1,411,039.3","226,897.1","1,013,492.8",,,,,,,,,,,,,,,
2540,"1,806,682.0","251,637.5","1,305,601.0",,,,,,,,,,,,,,,
2541,"2,248,089.4","294,761.7","1,660,795.3",,,,,,,,,,,,,,,
2542,"2,214,248.7","265,423.9","1,665,075.9",,,,,,,,,,,,,,,
2543,"2,768,064.8","291,956.1","2,115,414.0",,,,,,,,,,,,,,,
2544,"2,884,703.9","312,527.8","2,171,481.9",,,,,,,,,,,,,,,
2545,"2,923,941.4","305,417.1","2,226,375.6",,,,,,,,,,,,,,,
2546,"3,325,630.1","365,037.4","2,542,797.2",,,,,,,,,,,,,,,
2547,"3,873,689.6","414,522.1","2,994,069.2",,,,,,,,,,,,,,,
2548,"4,438,691.0","418,068.9","3,470,144.2",,,,,,,,,,,,,,,
2549,"4,937,372.2","499,674.2","3,808,882.2",,,,,,,,,,,,,,,
2550,"5,302,119.2","522,531.8","4,165,780.2",,,,,,,,,,,,,,,
2551,"5,851,371.1","662,228.9","4,417,833.9",,,,,,,,,,,,,,,
2552,"5,194,596.7","559,458.6","3,976,793.2",,,,,,,,,,,,,,,
2553,"6,113,335.5","679,718.6","4,697,001.7",,,,,,,,,,,,,,,
2554,"6,707,989.5","875,661.1","4,906,495.1",,,,,,,,,,,,,,,
2555,"7,077,762.2","724,293.1","5,320,016.8",,,,,,,,,,,,,,,
2556,"6,909,543.9","687,562.3","5,254,109.8",,,,,,,,,,,,,,,
2557,"7,311,089.0","719,099.2","5,644,724.7",,,,,,,,,,,,,,,
2558,"7,225,722.8","679,760.9","5,685,448.7",,,,,,,,,,,,,,,
2559,"7,550,704.1","682,988.3","6,029,997.0",,,,,,,,,,,,,,,
2560,"8,006,265.2","777,083.6","6,359,186.0",,,,,,,,,,,,,,,
2561,"8,108,299.8","744,433.5","6,422,726.6",,,,,,,,,,,,,,,
2562,"7,627,663.1","675,136.0","6,095,784.3",,,,,,,,,,,,,,,
2563 ,,,,,,,,,,,,,,,,,,
?.?. - ?.?.,"587,494.4","48,783.9","472,562.7",,,,,,,,,,,,,,,
????? : ??????????????????????????????????? ?????????????????????????? ???????????????????????????,,,,,,,,,,,,,,,,,,
